Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),SOUTHWALL:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),SOUTHWALL:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),NORTHWALL:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),NORTHWALL:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),EASTWALL:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),EASTWALL:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),WESTWALL:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),WESTWALL:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),FLOORSURFACE:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),FLOORSURFACE:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),ROOFSURFACE:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),ROOFSURFACE:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),MAINZONE:Zone Mean Air Temperature [C](Hourly) 
 01/01  01:00:00,-4.5,0.0,0.0,-1.9292311374578048,74.89346669047939,-18.066924585505774,74.25052121189918,-6.2265239415538645,49.86782054430387,-10.806437448971224,49.28408918457175,200.49483741843437,-186.917153460892,-164.51571597517398,149.41217464959715,16.11075831345585 
 01/01  02:00:00,-3.0,0.0,0.0,-2.644111778617713,74.34588290359355,-18.445797691068805,73.3397318763099,-6.603251118450942,49.49703522178175,-11.052948306582095,48.68773011296595,201.9969573567496,-190.10461063567095,-164.2200045055658,67.06613833128819,16.093037029649373 
 01/01  03:00:00,-3.625,0.0,0.0,-3.855744296289828,89.63353821020678,-19.304631013938547,87.94480727381386,-7.288988393054524,58.84619949631198,-11.616335488996242,59.27709307633843,202.97931265063426,-192.91843271723087,-161.41772457900328,206.9876194292056,16.08039298319227 
 01/01  04:00:00,-2.75,0.0,0.0,-4.829879388858529,70.44365540473568,-19.91637849781199,70.41496983332429,-7.822014931336412,46.79736214715998,-12.032978960254127,46.76350887041356,204.47357225412088,-195.33619789575596,-160.82735094190562,0.10851894792250505,16.065768831471775 
 01/01  05:00:00,-2.0,0.0,0.0,-6.670447309126047,69.48708464376752,-21.38113219768647,68.48850931601082,-8.897510944565965,46.14840629545872,-12.994255013621569,45.607815987789294,204.7447354271394,-197.47265022261763,-154.64910596742897,-112.01713615317206,16.059661812175793 
 01/01  06:00:00,-1.375,0.0,0.0,-9.48257353638951,69.28685734700097,-23.859775152169618,68.51401565314488,-10.61760738235165,45.861521999073844,-14.61538326429519,45.76472320188938,203.2788949440951,-199.2154091625937,-144.4430465829926,108.15486660857255,16.069158309294327 
 01/01  07:00:00,-1.0,0.0,0.0,-11.263053411305975,68.16439515901519,-25.277049118218883,67.44884273320834,-11.672789681325241,45.12479907282392,-15.56713094469302,45.02379423408455,203.53812850023314,-200.31188537636672,-140.42277374641816,36.50997316964873,16.067708322849974 
 01/01  08:00:00,-1.0,18.9375,156.9375,-12.869019288626447,-46.10205478821162,-26.49861232784488,56.875570742817615,-12.600964395648532,-56.245404278715654,-16.388448133965596,37.83364790876722,204.10255542699474,-201.09777777451336,-135.92347395440123,-226.7999598126817,16.063576611393174 
 01/01  09:00:00,-0.375,80.5625,367.4375,-17.068165961137538,-89.8606560485549,-30.34673208104067,36.56073619192324,-15.193088291987749,-50.996609023956836,-18.88449999626431,24.1889776815239,200.3979330797522,-201.76430152638977,-115.98202013381635,-742.538687987601,16.08747969640766 
 01/01  10:00:00,1.25,74.375,152.625,-23.58614979110098,0.5319913456746121,-36.60415941149168,31.23015813431616,-19.319300199162512,34.003792511971284,-22.950499318420952,20.989250110794156,192.58000409402234,-201.5702171296473,-87.6629233844418,-367.58080032379246,16.1476234203748 
